Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 07/21  05:15:00,24.394838681550323,23.324057507483749,23.81143116436649,23.486737035359267,23.33957514784704,23.496229665852768 
 07/21  05:30:00,24.334573072664097,23.36867390911185,24.50118324597282,23.68896102866107,23.384668404842168,23.52058654656733 
 07/21  05:45:00,24.291630741600085,23.4284955400351,25.367524600690169,23.878839199310556,23.44556420936253,23.553635787816206 
 07/21  06:00:00,24.262681215515415,23.51715559504276,26.50429157371852,24.100327793099749,23.530865235862366,23.60921496768375 
 07/21  06:15:00,24.238560021180189,23.60735299019451,27.38105818645569,24.239254141987489,23.615179062548238,23.66584227168674 
 07/21  06:30:00,24.2392142312311,23.68582505751987,27.998508951070155,24.31897558645301,23.688444555878485,23.705486615768757 
 07/21  06:45:00,24.258775489170099,23.80810140221334,28.715274342523647,24.42781415256251,23.796818050227594,23.762784861078467 
 07/21  07:00:00,24.29778446999307,23.88696801212784,29.094695683835029,24.471176505860066,23.86968801362299,23.795881086979013 
 07/21  07:15:00,24.371358249283135,24.295728965619867,29.759740928323269,24.81680807155435,24.25037010653383,24.120894299932336 
 07/21  07:30:00,24.470493939579265,24.675247136971053,30.16666469480955,25.13645901962167,24.590553079749087,24.433808735976009 
 07/21  07:45:00,24.58604082872908,24.899525837503995,30.473298855467854,25.309567325882705,24.80713428496506,24.59845878504202 
 07/21  08:00:00,24.722042374619435,25.093912717754216,30.75508765083428,25.460325713927309,25.001091594373397,24.719376905485008 
 07/21  08:15:00,24.899217402803598,26.03106956403135,31.578833509926846,26.364648268251746,26.003871668404338,25.704748473926246 
 07/21  08:30:00,25.15295719643378,26.862166691350109,32.274431094114827,27.146921526928119,26.77938226517455,26.632991585355627 
 07/21  08:45:00,25.402615360382215,27.220127100870408,32.58550495845358,27.475048035371125,27.062802093297596,26.918000309986796 
 07/21  09:00:00,25.6947729837749,27.76027403429255,33.00496116400154,27.97437710519017,27.53555642460369,27.430093184542323 
 07/21  09:15:00,25.977162928875324,28.088921804378875,33.189532834092407,28.281118226314626,27.856946143349675,27.691454427445266 
 07/21  09:30:00,26.28457767404925,28.401916574544868,33.32095691076776,28.572053902325498,28.1650166425562,27.933012835048979 
 07/21  09:45:00,26.590375536678896,28.681574109253618,33.3881400164244,28.827985591788136,28.44050970406491,28.140145565656434 
 07/21  10:00:00,26.91881633283542,28.934531550732886,33.389583742397267,29.058823903781709,28.69238520922535,28.327036574261336 
